#filename,Detection_time_spent_on_frame (seconds),Total_time_spent_on_frame (seconds),Accumulated_detection_time_spent_on_video(seconds),Accumulated_elapsed_time (seconds),FPS,Precision (%),Mean Precision (%),Histogram Limits,HistogramDetection_time_spent_on_frame (seconds),Histogram Total_time_spent_on_frame (seconds)
frame0.jpg,0.0878379822,0.0878929138,0.0878379822,0.0878929138,8.619804717,0,13.4803636423,0.07,0,0
frame1.jpg,0.0868927479,0.0869477272,0.1747307301,0.174840641,,100,,0.0705,0,0
frame2.jpg,0.070704174,0.070759058,0.2454349041,0.245599699,,100,,0.071,1,1
frame3.jpg,0.0839457512,0.0840064526,0.3293806553,0.3296061516,,100,,0.0715,0,0
frame4.jpg,0.0722798824,0.0723407745,0.4016605377,0.4019469261,,100,,0.072,0,0
frame5.jpg,0.0937627316,0.0938162327,0.4954232693,0.4957631588,,100,,0.0725,1,1
frame6.jpg,0.0766912937,0.0767479897,0.572114563,0.5725111485,,100,,0.073,0,0
frame7.jpg,0.0892448902,0.089297533,0.6613594532,0.6618086815,,100,,0.0735,0,0
frame8.jpg,0.0755226612,0.075583601,0.7368821144,0.7373922825,,100,,0.074,3,0
frame9.jpg,0.0865417004,0.086602354,0.8234238148,0.8239946365,,100,,0.0745,1,3
frame10.jpg,0.0809423923,0.0809962749,0.9043662071,0.9049909115,,100,,0.075,0,1
frame11.jpg,0.0929537773,0.0930132389,0.9973199844,0.9980041504,,100,,0.0755,0,0
frame12.jpg,0.0780380249,0.0780972958,1.0753580093,1.0761014462,,100,,0.076,2,1
frame13.jpg,0.0909235001,0.0909870625,1.1662815094,1.1670885086,,0,,0.0765,0,1
frame14.jpg,0.079831171,0.0798846722,1.2461126804,1.2469731808,,0,,0.077,4,4
frame15.jpg,0.0900104046,0.0900697231,1.336123085,1.3370429039,,0,,0.0775,3,1
frame16.jpg,0.0775469303,0.0776062489,1.4136700153,1.4146491528,,0,,0.078,1,3
frame17.jpg,0.086554575,0.0866192818,1.5002245903,1.5012684345,,0,,0.0785,6,2
frame18.jpg,0.0772230148,0.0772799492,1.5774476051,1.5785483837,,0,,0.079,3,5
frame19.jpg,0.089325285,0.0893896103,1.6667728901,1.667937994,,0,,0.0795,3,3
frame20.jpg,0.0740318775,0.0740903378,1.7408047676,1.7420283318,,0,,0.08,3,4
frame21.jpg,0.0923549652,0.0924138069,1.8331597328,1.8344421387,,0,,0.0805,8,5
frame22.jpg,0.0787128448,0.0787772179,1.9118725777,1.9132193565,,0,,0.081,4,2
frame23.jpg,0.0911925793,0.0912535191,2.0030651569,2.0044728756,,0,,0.0815,8,9
frame24.jpg,0.0767628193,0.0768334866,2.0798279762,2.0813063622,,0,,0.082,15,7
frame25.jpg,0.08851161,0.0885704041,2.1683395863,2.1698767662,,0,,0.0825,7,16
frame26.jpg,0.0766372681,0.0766970634,2.2449768543,2.2465738297,,0,,0.083,7,4
frame27.jpg,0.0887522221,0.0888110638,2.3337290764,2.3353848934,,0,,0.0835,8,9
frame28.jpg,0.0782392025,0.0783051014,2.4119682789,2.4136899948,,0,,0.084,15,7
frame29.jpg,0.0901396751,0.0904113293,2.502107954,2.5041013241,,27.0211304594,,0.0845,10,12
frame30.jpg,0.0773801327,0.0776154518,2.5794880867,2.5817167759,,19.7768762677,,0.085,14,18
frame31.jpg,0.1024359703,0.1026754379,2.681924057,2.6843922138,,20.1818109642,,0.0855,17,19
frame32.jpg,0.0759784698,0.0762228489,2.7579025269,2.7606150627,,20.4258018475,,0.086,14,18
frame33.jpg,0.0893139839,0.0895709038,2.8472165108,2.8501859665,,16.2993691124,,0.0865,22,11
frame34.jpg,0.0821739674,0.0824283123,2.9293904781,2.9326142788,,19.288249989,,0.087,26,30
frame35.jpg,0.0896639347,0.0899316311,3.0190544128,3.0225459099,,24.7412429379,,0.0875,38,32
frame36.jpg,0.0774673939,0.0777302265,3.0965218067,3.1002761364,,0,,0.088,27,26
frame37.jpg,0.0901982307,0.09044981,3.1867200375,3.1907259464,,31.3166106091,,0.0885,14,20
frame38.jpg,0.0782525539,0.0785344124,3.2649725914,3.2692603588,,0,,0.089,20,25
